Name,playerid,tot
Julian Merryweather,sa829363,159.3
Aaron Loup,10343,159.3
Carson Fulmer,18311,159.0999999999999
Jonny Venters,7175,158.7
Alex Young,18333,157.70000000000002
Trevor Rosenthal,10745,157.10000000000002
Danny Salazar,5867,157.1
Daniel Zamora,17811,156.3
Jordan Montgomery,16511,156.20000000000005
Shawn Kelley,7773,155.1
Corey Knebel,15010,155.1
Hunter Strickland,7836,154.90000000000003
Wandy Peralta,14295,154.00000000000003
David Phelps,6316,151.89999999999998
Wilmer Font,5257,151.09999999999997
Chris Stratton,13761,149.89999999999998
Shelby Miller,10197,149.04999999999998
Dylan Floro,13394,148.5
Taylor Guilbeau,18306,147.6
Gerson Bautista,19256,145.59999999999997
Dominic Leone,13763,145.4
Luke Gregerson,4090,145.4
Grant Dayton,11203,145.3
J.B. Wendelken,14506,144.4
Brian Moran,9646,143.20000000000002
Fernando Romero,15885,143.10000000000002
Jordan Hicks,19618,142.60000000000002
Adam Cimber,15288,142.29999999999998
Colten Brewer,12997,142.10000000000002
Joel Kuhnel,19995,141.7
Kyle Zimmer,14169,141.5
Jason Adam,11861,141.3
Wade LeBlanc,5221,141.19999999999996
Rico Garcia,20023,140.5
Keegan Akin,sa873980,140.00000000000006
Brandon Morrow,9346,139.3
Jay Jackson,7432,138.89999999999998
Jimmie Sherfy,15118,138.89999999999998
Victor Arano,15915,138.5
Robert Dugger,19191,138.29999999999998
Yimi Garcia,12095,138.00000000000003
Tony Barnette,3555,137.6
Matt Albers,4300,137.09999999999997
Brad Brach,6627,136.79999999999998
Asher Wojciechowski,10836,135.90000000000003
Miguel Gonzalez,7024,135.70000000000002
Patrick Weigel,sa829466,135.5
Mike Mayers,15451,135.40000000000003
Casey Sadler,11209,135.1
Andrew Suarez,18300,134.70000000000005
Anthony Misiewicz,sa874099,133.60000000000002
Peter Fairbanks,17998,133.4
Taylor Guerrieri,13616,132.5
Junior Fernandez,18496,132.20000000000002
Tony Sipp,8280,132.20000000000002
Thomas Pannone,17281,132.1
Tyler Lyons,11334,131.5
Jeremy Jeffress,9490,131.4
Ryan Tepera,10291,131.20000000000002
Hunter Wood,15091,130.89999999999998
Nick Burdi,16074,130.79999999999998
Austin Pruitt,15290,130.5
Adam Plutko,15846,129.55
T.J. McFarland,3237,128.9
Zach Plesac,19979,128.29999999999998
Trevor Cahill,6249,128.1
Jordan Romano,16122,127.89999999999999
Adalberto Mejia,13188,127.69999999999999
Ben Heller,15100,127.50000000000001
Ian Hamilton,19261,126.69999999999999
Matt Hall,18076,126.69999999999999
Lou Trivino,15043,126.30000000000001
Xavier Cedeno,36,125.89999999999998
Art Warren,18251,125.79999999999998
Joe Biagini,13194,124.99999999999997
Donnie Hart,15306,124.69999999999999
Wily Peralta,7738,124.50000000000001
Logan Allen,18555,124.2
Chris Flexen,13896,123.6
Josh Tomlin,9388,123.54999999999998
Stephen Gonsalves,15492,123.30000000000003
Jake Faria,13699,122.4
Stephen Tarpley,15859,122.30000000000001
Cody Allen,12183,121.89999999999999
Jeremy Hellickson,4371,121.74999999999997
Brady Singer,sa3008613,121.10000000000004
Justin Anderson,16201,120.89999999999998
Zach Duke,3840,120.4
Caleb Ferguson,19349,120.3
Jacob Webb,19274,119.69999999999999
Shawn Armstrong,12857,118.89999999999999
Aaron Barrett,11243,118.6
David McKay,19814,118.50000000000001
Randy Rosario,14508,118.30000000000001
Greg Holland,7196,117.20000000000002
Luis Avilan,2882,117.1
Heath Hembree,11632,116.79999999999998
Cristian Javier,sa874816,116.10000000000005
Williams Jerez,14338,116.1
Paul Sewald,13892,115.19999999999999
Andrew Kittredge,12828,115.10000000000001
Koda Glover,17695,115.1
James Pazos,13323,114.99999999999997
Miguel Diaz,18815,114.20000000000002
Evan Phillips,17734,113.69999999999999
Edgar Garcia,19276,113.4
Jorge Alcala,19459,113.10000000000002
Arodys Vizcaino,5498,112.79999999999998
Tony Cingrani,12555,112.6
Juan Nicasio,7731,112.4
Blake Parker,5224,112.19999999999999
Bryan Shaw,8110,111.79999999999998
James Shields,7059,111.69999999999999
